Ward,Total2010,White2010,Black2010,Asian2010,HisLat2010,Other2010,Total2016,White2016,Black2016,Asian2016,Latino2016,Other2016,Total Change,White Change,Black Change,Asian Change,Latino Change,Other Change,Total Pct Change,White Pct Change,Black Pct Change,Asian Pct Change,Latino Pct Change,Other Percent Change
1,56149,25337,3749,1704,24204,1155,56661,28550,3341,2091,21339,1341,512,3213,-408,387,-2865,186,0.01,0.13,-0.11,0.23,-0.12,0.16
2,55805,42695,3159,3650,5223,1078,57705,43108,3384,4002,5866,1345,1900,413,225,352,643,267,0.03,0.01,0.07,0.1,0.12,0.25
3,53039,11892,34051,3984,1975,1137,55763,12602,33351,6234,2270,1308,2724,710,-700,2250,295,171,0.05,0.06,-0.02,0.56,0.15,0.15
4,54589,12421,34409,4250,2007,1502,57301,13849,34362,5233,2222,1635,2712,1428,-47,983,215,133,0.05,0.11,0,0.23,0.11,0.09
5,51455,11940,32685,3368,1915,1547,52073,12333,32141,3870,2374,1354,618,393,-544,502,459,-193,0.01,0.03,-0.02,0.15,0.24,-0.12
6,52341,226,50903,27,536,649,49735,537,47846,31,718,603,-2606,311,-3057,4,182,-46,-0.05,1.37,-0.06,0.15,0.34,-0.07
7,51581,778,47283,89,2569,862,49609,1313,45189,46,2301,761,-1972,535,-2094,-43,-268,-101,-0.04,0.69,-0.04,-0.48,-0.1,-0.12
8,51687,292,49881,73,695,746,48507,548,46863,26,567,503,-3180,256,-3018,-47,-128,-243,-0.06,0.88,-0.06,-0.64,-0.18,-0.33
9,51519,752,47917,33,2173,644,50863,1114,46966,72,2176,534,-656,362,-951,39,3,-110,-0.01,0.48,-0.02,1.18,0,-0.17
10,51535,9159,9175,139,32587,475,49342,9083,8681,74,31377,129,-2193,-76,-494,-65,-1210,-346,-0.04,-0.01,-0.05,-0.47,-0.04,-0.73
11,51497,19210,2302,17277,11886,822,54977,19598,2474,19589,12257,1058,3480,388,172,2312,371,236,0.07,0.02,0.07,0.13,0.03,0.29
12,52235,4517,1085,3725,42577,331,50915,4036,682,4816,40838,544,-1320,-481,-403,1091,-1739,213,-0.03,-0.11,-0.37,0.29,-0.04,0.64
13,53722,17789,933,389,34260,351,56692,17000,1072,391,37926,302,2970,-789,139,2,3666,-49,0.06,-0.04,0.15,0.01,0.11,-0.14
14,54031,9115,786,758,43164,208,54864,7757,542,1365,45069,131,833,-1358,-244,607,1905,-77,0.02,-0.15,-0.31,0.8,0.04,-0.37
15,51501,2442,11405,483,36874,297,47155,2082,8485,673,35637,279,-4346,-360,-2920,190,-1237,-18,-0.08,-0.15,-0.26,0.39,-0.03,-0.06
16,51954,728,35474,83,15170,499,49535,708,30200,67,17968,592,-2419,-20,-5274,-16,2798,93,-0.05,-0.03,-0.15,-0.2,0.18,0.19
17,51846,1134,41917,105,8183,507,49271,1134,38398,210,8520,1008,-2575,0,-3519,105,337,501,-0.05,0,-0.08,1,0.04,0.99
18,52992,6715,28827,336,16524,590,54355,5434,29751,308,17879,982,1363,-1281,924,-28,1355,392,0.03,-0.19,0.03,-0.08,0.08,0.66
19,51525,34595,13052,314,2786,778,52676,34023,13415,502,3792,943,1151,-572,363,188,1006,165,0.02,-0.02,0.03,0.6,0.36,0.21
20,52372,2023,41397,694,7477,781,47996,2493,36990,806,6826,882,-4376,470,-4407,112,-651,101,-0.08,0.23,-0.11,0.16,-0.09,0.13
21,51632,149,50455,17,468,543,50096,242,48685,42,530,597,-1536,93,-1770,25,62,54,-0.03,0.63,-0.04,1.47,0.13,0.1
22,53515,2118,4417,182,46597,201,52551,2261,3020,231,46810,229,-964,143,-1397,49,213,28,-0.02,0.07,-0.32,0.27,0,0.14
23,53728,15911,1347,346,35823,301,55314,14217,1273,579,38993,250,1586,-1694,-74,233,3170,-51,0.03,-0.11,-0.05,0.67,0.09,-0.17
24,54909,2185,46937,121,5245,421,52041,1941,44145,82,5325,550,-2868,-244,-2792,-39,80,129,-0.05,-0.11,-0.06,-0.33,0.02,0.31
25,54539,10871,4758,7543,30670,697,52840,11701,4863,8693,26899,683,-1699,830,105,1150,-3771,-14,-0.03,0.08,0.02,0.15,-0.12,-0.02
26,53516,10470,6619,576,35211,640,51809,11730,6501,786,32022,769,-1707,1260,-118,210,-3189,129,-0.03,0.12,-0.02,0.36,-0.09,0.2
27,52939,13328,31471,1803,5347,990,55109,15271,29842,2025,6755,1216,2170,1943,-1629,222,1408,226,0.04,0.15,-0.05,0.12,0.26,0.23
28,55199,6432,41554,2680,3720,813,56091,7160,40965,2872,4384,710,892,728,-589,192,664,-103,0.02,0.11,-0.01,0.07,0.18,-0.13
29,55267,8625,38026,654,7262,700,55647,7759,37949,473,8968,498,380,-866,-77,-181,1706,-202,0.01,-0.1,0,-0.28,0.23,-0.29
30,55560,15566,1169,1711,36415,699,56143,14394,1097,1674,38053,924,583,-1172,-72,-37,1638,225,0.01,-0.08,-0.06,-0.02,0.04,0.32
31,53724,10184,1263,989,40767,521,51689,9436,1099,931,39418,805,-2035,-748,-164,-58,-1349,284,-0.04,-0.07,-0.13,-0.06,-0.03,0.54
32,55184,40036,1474,2511,9996,1167,59098,43073,1195,2574,10496,1760,3914,3037,-279,63,500,593,0.07,0.08,-0.19,0.02,0.05,0.51
33,55598,17958,1961,4956,29413,1310,56121,19405,2226,5323,27439,1727,523,1447,265,367,-1974,417,0.01,0.08,0.14,0.07,-0.07,0.32
34,51599,273,50042,39,667,578,48099,373,46264,19,580,864,-3500,100,-3778,-20,-87,286,-0.07,0.37,-0.08,-0.51,-0.13,0.49
35,55281,10855,2359,2791,38313,963,54557,12426,1938,3234,36106,854,-724,1571,-421,443,-2207,-109,-0.01,0.14,-0.18,0.16,-0.06,-0.11
36,54766,14395,1883,1461,36496,531,53377,12361,1651,1406,37411,549,-1389,-2034,-232,-55,915,18,-0.03,-0.14,-0.12,-0.04,0.03,0.03
37,51538,752,40790,183,9356,457,51178,652,36598,202,13009,716,-360,-100,-4192,19,3653,259,-0.01,-0.13,-0.1,0.1,0.39,0.57
38,56001,38754,485,2319,13680,763,59861,37475,1172,2469,17714,1032,3860,-1279,687,150,4034,269,0.07,-0.03,1.42,0.06,0.29,0.35
39,55882,30133,1495,9238,13111,1905,57712,30471,1354,10815,13446,1625,1830,338,-141,1577,335,-280,0.03,0.01,-0.09,0.17,0.03,-0.15
40,55319,28138,3817,8757,13049,1558,55942,29051,3451,8722,12433,2284,623,913,-366,-35,-616,726,0.01,0.03,-0.1,0,-0.05,0.47
41,56012,46122,568,2842,5596,884,54866,44506,620,2747,5390,1603,-1146,-1616,52,-95,-206,719,-0.02,-0.04,0.09,-0.03,-0.04,0.81
42,55870,38810,2933,9447,3233,1447,66203,45782,2657,12356,3794,1615,10333,6972,-276,2909,561,168,0.18,0.18,-0.09,0.31,0.17,0.12
43,56170,47644,1765,2897,2704,1160,58670,47264,2292,3659,3565,1890,2500,-380,527,762,861,730,0.04,-0.01,0.3,0.26,0.32,0.63
44,56058,46286,1597,3430,3567,1178,59871,48554,1626,4506,3649,1536,3813,2268,29,1076,82,358,0.07,0.05,0.02,0.31,0.02,0.3
45,55967,36009,861,4174,13736,1187,57629,35567,665,4440,15688,1270,1662,-442,-196,266,1952,83,0.03,-0.01,-0.23,0.06,0.14,0.07
46,53784,30787,10686,4760,6188,1363,53370,30596,9845,4520,6536,1872,-414,-191,-841,-240,348,509,-0.01,-0.01,-0.08,-0.05,0.06,0.37
47,55074,41172,1484,3343,7700,1375,59723,45611,1445,3334,7585,1748,4649,4439,-39,-9,-115,373,0.08,0.11,-0.03,0,-0.01,0.27
48,55909,30112,9043,7331,7759,1664,55446,30325,8688,7083,7631,1718,-463,213,-355,-248,-128,54,-0.01,0.01,-0.04,-0.03,-0.02,0.03
49,55895,21693,14966,3765,13455,2016,56544,23573,15413,3499,12138,1921,649,1880,447,-266,-1317,-95,0.01,0.09,0.03,-0.07,-0.1,-0.05
50,55809,25210,5671,12556,10533,1839,58073,26695,6527,12905,9699,2247,2264,1485,856,349,-834,408,0.04,0.06,0.15,0.03,-0.08,0.22
Chicago,2695619,854738,872286,144903,778862,44830,2711666,877177,829194,162607,790391,52297,16047,22439,-43092,17704,11529,7467,0.01,0.03,-0.05,0.12,0.01,0.17
